Session ID,u1760821181473
Completed At,2025-10-18 21:00:44.177Z
Created At,2025-10-18 20:59:41.473Z

User Data
(no demographics found),

Comprehension Check
Passed,FALSE

Level: s111
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 20:59:41.438Z,LEVEL_START,,,,,,,,,,
2025-10-18 20:59:41.440Z,LEVEL_START,,,,,,,,,,
2025-10-18 20:59:41.631Z,LEVEL_START,,,,,,,,,,
2025-10-18 20:59:53.080Z,LEVEL_START,,,,,,,,,,

Level: s111_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 21:00:14.051Z,LEVEL_START,,,,,,,,,,

Level: s211
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 20:59:41.583Z,LEVEL_START,,,,,,,,,,

